pressure,consumption,temperature,crit_power
3.00,1000.00,25.00,8.80
3.00,1000.00,10.00,8.40
3.00,1000.00,0.00,8.20
3.00,1500.00,50.00,9.50
3.00,1500.00,25.00,8.75
3.00,1500.00,10.00,8.20
3.00,1500.00,0.00,8.00
3.00,2000.00,75.00,10.55
3.00,2000.00,50.00,9.65
3.00,2000.00,25.00,8.60
3.00,2000.00,10.00,8.00
3.00,2000.00,0.00,7.75
3.00,3000.00,75.00,11.25
3.00,3000.00,50.00,10.05
3.00,3000.00,25.00,8.65
3.00,3000.00,10.00,7.85
3.00,3000.00,0.00,7.40
5.00,750.00,0.00,7.40
5.00,1000.00,50.00,8.55
5.00,1000.00,25.00,8.00
5.00,1000.00,10.00,7.60
5.00,1000.00,0.00,7.40
5.00,1500.00,75.00,9.40
5.00,1500.00,50.00,8.75
5.00,1500.00,25.00,8.10
5.00,1500.00,10.00,7.60
5.00,1500.00,0.00,7.25
5.00,2000.00,75.00,9.75
5.00,2000.00,50.00,9.00
5.00,2000.00,25.00,8.15
5.00,2000.00,10.00,7.60
5.00,2000.00,0.00,7.10
5.00,3000.00,75.00,10.40
5.00,3000.00,50.00,9.40
5.00,3000.00,25.00,8.25
5.00,3000.00,10.00,7.35
5.00,3000.00,0.00,6.90
7.00,750.00,50.00,7.40
7.00,750.00,25.00,6.85
7.00,750.00,10.00,6.45
7.00,750.00,0.00,6.20
7.00,1000.00,75.00,8.15
7.00,1000.00,50.00,7.60
7.00,1000.00,25.00,6.85
7.00,1000.00,10.00,6.45
7.00,1000.00,0.00,6.15
7.00,1500.00,75.00,8.50
7.00,1500.00,50.00,7.80
7.00,1500.00,25.00,6.95
7.00,1500.00,10.00,6.45
7.00,1500.00,0.00,5.95
7.00,2000.00,75.00,8.85
7.00,2000.00,50.00,8.00
7.00,2000.00,25.00,7.00
7.00,2000.00,10.00,6.40
7.00,2000.00,0.00,5.90
7.00,3000.00,75.00,9.75
7.00,3000.00,50.00,8.45
7.00,3000.00,25.00,7.15
7.00,3000.00,10.00,6.25
7.00,3000.00,0.00,5.55
10.00,750.00,75.00,6.30
10.00,750.00,50.00,5.80
10.00,750.00,25.00,5.20
10.00,750.00,10.00,4.90
10.00,750.00,0.00,4.55
10.00,1000.00,75.00,6.55
10.00,1000.00,50.00,5.95
10.00,1000.00,25.00,5.05
10.00,1000.00,10.00,4.80
10.00,1000.00,0.00,4.55
10.00,1500.00,75.00,7.05
10.00,1500.00,50.00,6.25
10.00,1500.00,25.00,5.25
10.00,1500.00,10.00,4.80
10.00,1500.00,0.00,4.50
10.00,2000.00,75.00,7.65
10.00,2000.00,50.00,6.50
10.00,2000.00,25.00,5.40
10.00,2000.00,10.00,4.85
10.00,2000.00,0.00,4.45
10.00,3000.00,75.00,8.75
10.00,3000.00,50.00,7.50
10.00,3000.00,25.00,6.00
10.00,3000.00,10.00,5.15
10.00,3000.00,0.00,4.30
12.00,750.00,75.00,5.20
12.00,750.00,50.00,4.60
12.00,750.00,25.00,4.00
12.00,750.00,10.00,3.70
12.00,750.00,0.00,3.40
12.00,1000.00,75.00,5.55
12.00,1000.00,50.00,4.80
12.00,1000.00,25.00,4.20
12.00,1000.00,10.00,3.75
12.00,1000.00,0.00,3.45
12.00,1500.00,75.00,6.15
12.00,1500.00,50.00,5.40
12.00,1500.00,25.00,4.45
12.00,1500.00,10.00,3.90
12.00,1500.00,0.00,3.45
12.00,2000.00,75.00,7.20
12.00,2000.00,50.00,6.15
12.00,2000.00,25.00,4.85
12.00,2000.00,10.00,4.10
12.00,2000.00,0.00,3.55
12.00,3000.00,75.00,8.75
12.00,3000.00,50.00,7.15
12.00,3000.00,25.00,5.55
12.00,3000.00,10.00,4.45
12.00,3000.00,0.00,3.70
14.00,750.00,75.00,4.10
14.00,750.00,50.00,3.65
14.00,750.00,25.00,3.15
14.00,750.00,10.00,2.80
